REGION,EMISSION,YEAR,VALUE
REGION1,CO2,2056,21555.68187
REGION1,CO2,2057,7531.808159
REGION1,CO2,2058,0
REGION1,CO2,2059,0
REGION1,CO2,2060,0
REGION1,CZHO,2015,8.708544
REGION1,CZHO,2016,8.79228
REGION1,CZHO,2017,8.876016
REGION1,CZHO,2018,8.959752
REGION1,CZHO,2019,9.043488
REGION1,CZHO,2020,9.127224
REGION1,CZHO,2021,9.085356
REGION1,CZHO,2022,9.043488
REGION1,CZHO,2023,9.00162
REGION1,CZHO,2024,8.959752
REGION1,CZHO,2025,8.917884
REGION1,CZHO,2026,8.9764992
REGION1,CZHO,2027,9.0351144
REGION1,CZHO,2028,9.0937296
REGION1,CZHO,2029,9.1523448
REGION1,CZHO,2030,9.21096
REGION1,CZHO,2031,9.3281904
REGION1,CZHO,2032,9.4454208
REGION1,CZHO,2033,9.5626512
REGION1,CZHO,2034,9.6798816
REGION1,CZHO,2035,9.797112
REGION1,CZHO,2036,9.9562104
REGION1,CZHO,2037,10.1153088
REGION1,CZHO,2038,10.2744072
REGION1,CZHO,2039,10.4335056
REGION1,CZHO,2040,10.592604
REGION1,CZHO,2041,10.9610424
REGION1,CZHO,2042,11.3294808
REGION1,CZHO,2043,11.6979192
REGION1,CZHO,2044,12.0663576
REGION1,CZHO,2045,12.434796
REGION1,CZHO,2046,12.7362456
REGION1,CZHO,2047,13.0376952
REGION1,CZHO,2048,13.3391448
REGION1,CZHO,2049,13.6406
REGION1,CZHO,2050,13.942044
REGION1,CZHO,2051,14.22088488
REGION1,CZHO,2052,14.50530258
REGION1,CZHO,2053,14.79540863
REGION1,CZHO,2054,15.0913168
REGION1,CZHO,2055,15.39314314
REGION1,CZHO,2056,15.54707457
REGION1,CZHO,2057,15.70254531
REGION1,CZHO,2058,15.85957077
REGION1,CZHO,2059,16.01816648
REGION1,CZHO,2060,16.17834814
REGION1,DEHO,2015,80.5959
REGION1,DEHO,2016,80.679636
REGION1,DEHO,2017,80.763372
REGION1,DEHO,2018,80.847108
REGION1,DEHO,2019,80.930844
REGION1,DEHO,2020,81.01458
REGION1,DEHO,2021,81.3830184
REGION1,DEHO,2022,81.7514568
REGION1,DEHO,2023,82.1198952
REGION1,DEHO,2024,82.4883336
REGION1,DEHO,2025,82.856772
REGION1,DEHO,2026,83.4345504
REGION1,DEHO,2027,84.0123288
REGION1,DEHO,2028,84.5901072
REGION1,DEHO,2029,85.1678856
REGION1,DEHO,2030,85.745664
REGION1,DEHO,2031,87.1356816
REGION1,DEHO,2032,88.5256992
REGION1,DEHO,2033,89.9157168
